Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.453,3.54,3.442,3.332,3.146,2.977,2.881,2.848,2.888,2.886,2.859,2.961,2.744,2.491,2.397,2.148,2.06,2.007,1.949,1.907,1.891,1.935,1.929,1.924,1.84,1.923,1.868,1.845,1.831,1.838,1.902,1.849,1.888,1.859,1.842,1.822,1.796,1.778,1.762,1.755,1.756,1.739,1.756,1.748,1.768,1.807,1.908,1.959,1.984,1.971,1.928,1.927,1.921,1.859,1.859,,
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.69,2.78,2.8,2.82,2.79,2.7,2.66,2.62,2.58,2.49,2.29,2.2,2.08,1.94,1.91,1.83,1.69,1.63,1.6,1.6,1.65,1.67,1.66,1.56,1.52,1.47,1.45,1.43,1.45,1.45,1.46,1.51,1.51,1.5,1.47,1.42,1.45,1.39,1.37,1.34,1.36,1.33,1.39,1.38,1.42,1.41,1.41,1.38,1.42,1.39,1.44,1.43,1.44,1.44,1.44,,
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.953,6.998,7.045,7.092,7.138,7.179,7.216,7.247,7.272,7.293,7.311,7.329,7.348,7.37,7.395,7.419,7.439,7.452,7.457,7.455,7.45,7.449,7.454,7.469,7.492,7.52,7.546,7.565,7.572,7.564,7.542,7.508,7.465,7.418,7.368,7.318,7.267,7.217,7.165,7.112,7.057,7,6.939,6.873,6.803,6.729,6.649,6.566,6.48,6.391,6.302,6.212,6.123,6.035,5.948,,
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.54,2.63,2.59,2.68,2.71,2.61,2.52,2.41,2.31,2.27,2.25,2.21,2.09,1.95,1.83,1.74,1.73,1.71,1.69,1.69,1.68,1.66,1.61,1.57,1.54,1.51,1.54,1.54,1.57,1.58,1.62,1.66,1.65,1.61,1.56,1.56,1.59,1.6,1.6,1.62,1.67,1.67,1.65,1.67,1.72,1.76,1.8,1.82,1.85,1.84,1.86,1.81,1.79,1.75,1.75,,
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.282,6.339,6.394,6.447,6.497,6.544,6.588,6.63,6.671,6.71,6.748,6.786,6.823,6.86,6.896,6.929,6.959,6.984,7.004,7.018,7.025,7.025,7.021,7.01,6.994,6.972,6.942,6.904,6.858,6.805,6.744,6.677,6.603,6.526,6.446,6.365,6.284,6.205,6.128,6.051,5.975,5.898,5.818,5.733,5.645,5.553,5.459,5.365,5.272,5.182,5.094,5.009,4.927,4.846,4.766,,
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.291,6.316,6.344,6.377,6.414,6.454,6.493,6.53,6.563,6.593,6.623,6.657,6.697,6.744,6.799,6.859,6.922,6.984,7.041,7.09,7.127,7.152,7.165,7.167,7.159,7.142,7.119,7.092,7.064,7.036,7.007,6.979,6.95,6.917,6.882,6.844,6.801,6.754,6.704,6.65,6.592,6.531,6.468,6.403,6.335,6.265,6.192,6.116,6.036,5.953,5.867,5.78,5.693,5.607,5.521,,
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.725,6.761,6.794,6.825,6.853,6.878,6.901,6.92,6.935,6.945,6.947,6.942,6.928,6.904,6.869,6.821,6.758,6.681,6.59,6.483,6.359,6.217,6.058,5.884,5.698,5.501,5.298,5.092,4.887,4.686,4.494,4.314,4.146,3.99,3.846,3.713,3.592,3.479,3.372,3.269,3.169,3.069,2.971,2.874,2.779,2.687,2.6,2.521,2.449,2.387,2.332,2.286,2.245,2.209,2.175,,
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.495,4.496,4.45,4.356,4.22,4.057,3.893,3.75,3.641,3.571,3.531,3.504,3.469,3.411,3.33,3.234,3.139,3.062,3.012,2.99,2.989,2.994,2.989,2.965,2.919,2.857,2.789,2.728,2.683,2.654,2.639,2.631,2.621,2.601,2.566,2.514,2.443,2.357,2.263,2.165,2.071,1.989,1.924,1.88,1.857,1.853,1.862,1.877,1.891,1.901,1.904,1.9,1.893,1.883,1.872,,
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.5,6.48,6.46,6.44,6.42,6.4,6.379,6.358,6.337,6.316,6.299,6.288,6.284,6.285,6.286,6.278,6.25,6.195,6.109,5.992,5.849,5.684,5.51,5.336,5.17,5.019,4.886,4.771,4.671,4.584,4.508,4.436,4.363,4.286,4.201,4.109,4.01,3.908,3.805,3.703,3.6,3.496,3.39,3.282,3.175,3.072,2.977,2.893,2.821,2.762,2.714,2.676,2.643,2.611,2.579,,
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.7,6.668,6.633,6.597,6.559,6.519,6.477,6.432,6.384,6.335,6.284,6.233,6.182,6.132,6.081,6.029,5.975,5.917,5.855,5.787,5.715,5.637,5.556,5.472,5.386,5.3,5.215,5.132,5.051,4.971,4.894,4.817,4.741,4.664,4.585,4.503,4.418,4.331,4.241,4.148,4.055,3.96,3.866,3.773,3.683,3.595,3.51,3.427,3.348,3.271,3.2,3.133,3.073,3.017,2.968,,
